"id","mod_hex_id","courseID","mod_type","name","markdown","order","childOrder","treelevel","chpModPar","seqModPar","vrtModPar","parent","modparent_childlevel"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@course+block@course","course","MITProfessionalX+SysEngxB1+3T2016","course","Architecture of Complex Systems",NA,1,0,0,NA,NA,NA,"course","course/0"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@chapter+block@29cf9e4cb86d4ed0802f432bd65440c9","29cf9e4cb86d4ed0802f432bd65440c9","MITProfessionalX+SysEngxB1+3T2016","chapter","Pre-Assessment (15 min--required)",NA,2,1,1,"29cf9e4cb86d4ed0802f432bd65440c9",NA,NA,"course","course/1"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@sequential+block@5664bd173cd441d092a7dd7337b311b7","5664bd173cd441d092a7dd7337b311b7","MITProfessionalX+SysEngxB1+3T2016","sequential","Pre-Assessment",NA,3,1,2,"29cf9e4cb86d4ed0802f432bd65440c9","5664bd173cd441d092a7dd7337b311b7",NA,"29cf9e4cb86d4ed0802f432bd65440c9","29cf9e4cb86d4ed0802f432bd65440c9/1"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@vertical+block@dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f","MITProfessionalX+SysEngxB1+3T2016","vertical","Pre-Assessment",NA,4,1,3,"29cf9e4cb86d4ed0802f432bd65440c9","5664bd173cd441d092a7dd7337b311b7","dbcb657e19bc4e329d96b833d34e7a0f","5664bd173cd441d092a7dd7337b311b7","5664bd173cd441d092a7dd7337b311b7/1"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@html+block@74ac8efc3d764027b5e1250e91447312","74ac8efc3d764027b5e1250e91447312","MITProfessionalX+SysEngxB1+3T2016","html",NA,NA,5,1,4,"29cf9e4cb86d4ed0802f432bd65440c9","5664bd173cd441d092a7dd7337b311b7","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f/1"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@html+block@b6e8671646bc43a082d388743a950773","b6e8671646bc43a082d388743a950773","MITProfessionalX+SysEngxB1+3T2016","html",NA,NA,6,2,4,"29cf9e4cb86d4ed0802f432bd65440c9","5664bd173cd441d092a7dd7337b311b7","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f/2"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@problem+block@1a8e179d17324618a8595df0f45daf1e","1a8e179d17324618a8595df0f45daf1e","MITProfessionalX+SysEngxB1+3T2016","problem","Question #1",NA,7,3,4,"29cf9e4cb86d4ed0802f432bd65440c9","5664bd173cd441d092a7dd7337b311b7","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f/3"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@problem+block@e6c26dfc22fa402e90d8331751374b98","e6c26dfc22fa402e90d8331751374b98","MITProfessionalX+SysEngxB1+3T2016","problem","Question #2",NA,8,4,4,"29cf9e4cb86d4ed0802f432bd65440c9","5664bd173cd441d092a7dd7337b311b7","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f/4"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@problem+block@6a14c3aae9ea436fa7db56487f1bd46d","6a14c3aae9ea436fa7db56487f1bd46d","MITProfessionalX+SysEngxB1+3T2016","problem","Question #3",NA,9,5,4,"29cf9e4cb86d4ed0802f432bd65440c9","5664bd173cd441d092a7dd7337b311b7","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f/5"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@problem+block@86b82f161d2641d7822e8265066ee474","86b82f161d2641d7822e8265066ee474","MITProfessionalX+SysEngxB1+3T2016","problem","Question #4",NA,10,6,4,"29cf9e4cb86d4ed0802f432bd65440c9","5664bd173cd441d092a7dd7337b311b7","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f/6"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@problem+block@aa12167942ea4134ac65d4152096f3fb","aa12167942ea4134ac65d4152096f3fb","MITProfessionalX+SysEngxB1+3T2016","problem","Question #5",NA,11,7,4,"29cf9e4cb86d4ed0802f432bd65440c9","5664bd173cd441d092a7dd7337b311b7","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f/7"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@html+block@639891547dc44f0e9dfad1e39cfe932a","639891547dc44f0e9dfad1e39cfe932a","MITProfessionalX+SysEngxB1+3T2016","html",NA,NA,12,8,4,"29cf9e4cb86d4ed0802f432bd65440c9","5664bd173cd441d092a7dd7337b311b7","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f/8"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@problem+block@2571a6cec52749ed8ccd46087d46b561","2571a6cec52749ed8ccd46087d46b561","MITProfessionalX+SysEngxB1+3T2016","problem","Question #6",NA,13,9,4,"29cf9e4cb86d4ed0802f432bd65440c9","5664bd173cd441d092a7dd7337b311b7","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f/9"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@html+block@aa3c32639e374f6184b04d23432240f4","aa3c32639e374f6184b04d23432240f4","MITProfessionalX+SysEngxB1+3T2016","html",NA,NA,14,10,4,"29cf9e4cb86d4ed0802f432bd65440c9","5664bd173cd441d092a7dd7337b311b7","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f/10"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@problem+block@cc4d9b10594a45d2b0ed7a4a7fdebf18","cc4d9b10594a45d2b0ed7a4a7fdebf18","MITProfessionalX+SysEngxB1+3T2016","problem","Question #7",NA,15,11,4,"29cf9e4cb86d4ed0802f432bd65440c9","5664bd173cd441d092a7dd7337b311b7","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f/11"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@problem+block@82901b331caa4f9fb799228bd4995b9a","82901b331caa4f9fb799228bd4995b9a","MITProfessionalX+SysEngxB1+3T2016","problem","Question #8",NA,16,12,4,"29cf9e4cb86d4ed0802f432bd65440c9","5664bd173cd441d092a7dd7337b311b7","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f/12"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@problem+block@6fa6f0a0801441f9ba875cc084947c1d","6fa6f0a0801441f9ba875cc084947c1d","MITProfessionalX+SysEngxB1+3T2016","problem","Question #9",NA,17,13,4,"29cf9e4cb86d4ed0802f432bd65440c9","5664bd173cd441d092a7dd7337b311b7","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f/13"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@problem+block@fc43a64830d54a198fd3bfa6248bac7b","fc43a64830d54a198fd3bfa6248bac7b","MITProfessionalX+SysEngxB1+3T2016","problem","Question #10",NA,18,14,4,"29cf9e4cb86d4ed0802f432bd65440c9","5664bd173cd441d092a7dd7337b311b7","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f/14"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@html+block@63371e362f52456b9676ccc240cbe391","63371e362f52456b9676ccc240cbe391","MITProfessionalX+SysEngxB1+3T2016","html",NA,NA,19,15,4,"29cf9e4cb86d4ed0802f432bd65440c9","5664bd173cd441d092a7dd7337b311b7","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f","dbcb657e19bc4e329d96b833d34e7a0f/15"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@chapter+block@396ce4f65de344c38d297d8afe6bef9b","396ce4f65de344c38d297d8afe6bef9b","MITProfessionalX+SysEngxB1+3T2016","chapter","Get Started (25 min)",NA,20,2,1,"396ce4f65de344c38d297d8afe6bef9b",NA,NA,"course","course/2"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@sequential+block@34beb3cd4f2e4f8fb022bbb608c02284","34beb3cd4f2e4f8fb022bbb608c02284","MITProfessionalX+SysEngxB1+3T2016","sequential","Welcome (3 min)",NA,21,1,2,"396ce4f65de344c38d297d8afe6bef9b","34beb3cd4f2e4f8fb022bbb608c02284",NA,"396ce4f65de344c38d297d8afe6bef9b","396ce4f65de344c38d297d8afe6bef9b/1"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@vertical+block@d3f4f94ef3b14c5b9defadf34015577a","d3f4f94ef3b14c5b9defadf34015577a","MITProfessionalX+SysEngxB1+3T2016","vertical","Welcome from Dr. Bruce Cameron",NA,22,1,3,"396ce4f65de344c38d297d8afe6bef9b","34beb3cd4f2e4f8fb022bbb608c02284","d3f4f94ef3b14c5b9defadf34015577a","34beb3cd4f2e4f8fb022bbb608c02284","34beb3cd4f2e4f8fb022bbb608c02284/1"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@video+block@ffb131d47a33435684f3ffd7bd80959d","ffb131d47a33435684f3ffd7bd80959d","MITProfessionalX+SysEngxB1+3T2016","video","Video",NA,23,1,4,"396ce4f65de344c38d297d8afe6bef9b","34beb3cd4f2e4f8fb022bbb608c02284","d3f4f94ef3b14c5b9defadf34015577a","d3f4f94ef3b14c5b9defadf34015577a","d3f4f94ef3b14c5b9defadf34015577a/1"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@vertical+block@2bfcbe4e04a24159ac940052aeb6f7b3","2bfcbe4e04a24159ac940052aeb6f7b3","MITProfessionalX+SysEngxB1+3T2016","vertical","The Value of System Architecture",NA,24,2,3,"396ce4f65de344c38d297d8afe6bef9b","34beb3cd4f2e4f8fb022bbb608c02284","2bfcbe4e04a24159ac940052aeb6f7b3","34beb3cd4f2e4f8fb022bbb608c02284","34beb3cd4f2e4f8fb022bbb608c02284/2"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@html+block@d21968673e924dbabc6ad3c96564d491","d21968673e924dbabc6ad3c96564d491","MITProfessionalX+SysEngxB1+3T2016","html","The Value of System Architecture",NA,25,1,4,"396ce4f65de344c38d297d8afe6bef9b","34beb3cd4f2e4f8fb022bbb608c02284","2bfcbe4e04a24159ac940052aeb6f7b3","2bfcbe4e04a24159ac940052aeb6f7b3","2bfcbe4e04a24159ac940052aeb6f7b3/1"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@sequential+block@72abd9ef279c4b2fab9c72f1591c5279","72abd9ef279c4b2fab9c72f1591c5279","MITProfessionalX+SysEngxB1+3T2016","sequential","Course Schedule (3 min)",NA,26,2,2,"396ce4f65de344c38d297d8afe6bef9b","72abd9ef279c4b2fab9c72f1591c5279",NA,"396ce4f65de344c38d297d8afe6bef9b","396ce4f65de344c38d297d8afe6bef9b/2"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@vertical+block@8cc084682bc643acbc1e8dc638ac3448","8cc084682bc643acbc1e8dc638ac3448","MITProfessionalX+SysEngxB1+3T2016","vertical","Schedule",NA,27,1,3,"396ce4f65de344c38d297d8afe6bef9b","72abd9ef279c4b2fab9c72f1591c5279","8cc084682bc643acbc1e8dc638ac3448","72abd9ef279c4b2fab9c72f1591c5279","72abd9ef279c4b2fab9c72f1591c5279/1"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@html+block@8c15ba17ee9a44e19835f2d860dcf497","8c15ba17ee9a44e19835f2d860dcf497","MITProfessionalX+SysEngxB1+3T2016","html",NA,NA,28,1,4,"396ce4f65de344c38d297d8afe6bef9b","72abd9ef279c4b2fab9c72f1591c5279","8cc084682bc643acbc1e8dc638ac3448","8cc084682bc643acbc1e8dc638ac3448","8cc084682bc643acbc1e8dc638ac3448/1"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@html+block@3b18b315fa644bfa8fdf8e51237f55d6","3b18b315fa644bfa8fdf8e51237f55d6","MITProfessionalX+SysEngxB1+3T2016","html",NA,NA,29,2,4,"396ce4f65de344c38d297d8afe6bef9b","72abd9ef279c4b2fab9c72f1591c5279","8cc084682bc643acbc1e8dc638ac3448","8cc084682bc643acbc1e8dc638ac3448","8cc084682bc643acbc1e8dc638ac3448/2"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@html+block@f078dba67ca54993ba5721ea153690b5","f078dba67ca54993ba5721ea153690b5","MITProfessionalX+SysEngxB1+3T2016","html",NA,NA,30,3,4,"396ce4f65de344c38d297d8afe6bef9b","72abd9ef279c4b2fab9c72f1591c5279","8cc084682bc643acbc1e8dc638ac3448","8cc084682bc643acbc1e8dc638ac3448","8cc084682bc643acbc1e8dc638ac3448/3"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@html+block@bc22f00aef3f4f80b9b93519f203b33d","bc22f00aef3f4f80b9b93519f203b33d","MITProfessionalX+SysEngxB1+3T2016","html",NA,NA,31,4,4,"396ce4f65de344c38d297d8afe6bef9b","72abd9ef279c4b2fab9c72f1591c5279","8cc084682bc643acbc1e8dc638ac3448","8cc084682bc643acbc1e8dc638ac3448","8cc084682bc643acbc1e8dc638ac3448/4"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@vertical+block@d32f8ba3c4ff4c1daf9c53d3b4952368","d32f8ba3c4ff4c1daf9c53d3b4952368","MITProfessionalX+SysEngxB1+3T2016","vertical","Calendar View",NA,32,2,3,"396ce4f65de344c38d297d8afe6bef9b","72abd9ef279c4b2fab9c72f1591c5279","d32f8ba3c4ff4c1daf9c53d3b4952368","72abd9ef279c4b2fab9c72f1591c5279","72abd9ef279c4b2fab9c72f1591c5279/2"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@html+block@5388e3e2233d42e99aa7b063074b665c","5388e3e2233d42e99aa7b063074b665c","MITProfessionalX+SysEngxB1+3T2016","html",NA,NA,33,1,4,"396ce4f65de344c38d297d8afe6bef9b","72abd9ef279c4b2fab9c72f1591c5279","d32f8ba3c4ff4c1daf9c53d3b4952368","d32f8ba3c4ff4c1daf9c53d3b4952368","d32f8ba3c4ff4c1daf9c53d3b4952368/1"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@vertical+block@db139ef6c1d14ca889068cd118193fd3","db139ef6c1d14ca889068cd118193fd3","MITProfessionalX+SysEngxB1+3T2016","vertical","Program Structure",NA,34,3,3,"396ce4f65de344c38d297d8afe6bef9b","72abd9ef279c4b2fab9c72f1591c5279","db139ef6c1d14ca889068cd118193fd3","72abd9ef279c4b2fab9c72f1591c5279","72abd9ef279c4b2fab9c72f1591c5279/3"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@html+block@499ba5f3182f44b9958d29e26403667e","499ba5f3182f44b9958d29e26403667e","MITProfessionalX+SysEngxB1+3T2016","html","Program Structure",NA,35,1,4,"396ce4f65de344c38d297d8afe6bef9b","72abd9ef279c4b2fab9c72f1591c5279","db139ef6c1d14ca889068cd118193fd3","db139ef6c1d14ca889068cd118193fd3","db139ef6c1d14ca889068cd118193fd3/1"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@sequential+block@055506a2a4524dc2b1632b81b21cc811","055506a2a4524dc2b1632b81b21cc811","MITProfessionalX+SysEngxB1+3T2016","sequential","Course Collaboration Tools (5 min)",NA,36,3,2,"396ce4f65de344c38d297d8afe6bef9b","055506a2a4524dc2b1632b81b21cc811",NA,"396ce4f65de344c38d297d8afe6bef9b","396ce4f65de344c38d297d8afe6bef9b/3"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@vertical+block@c3a4aef0edc142e78255d4b26573abfd","c3a4aef0edc142e78255d4b26573abfd","MITProfessionalX+SysEngxB1+3T2016","vertical","Piazza Discussion Forum",NA,37,1,3,"396ce4f65de344c38d297d8afe6bef9b","055506a2a4524dc2b1632b81b21cc811","c3a4aef0edc142e78255d4b26573abfd","055506a2a4524dc2b1632b81b21cc811","055506a2a4524dc2b1632b81b21cc811/1"
"block-v1:MITProfessionalX+SysEngxB1+3T2016+type@html+block@9530c4880cf64191b915ac73a3a3b476","9530c4880cf64191b915ac73a3a3b476","MITProfessionalX+SysEngxB1+3T2016","html",NA,NA,38,1,4,"396ce4f65de344c38d297d8afe6bef9b","055506a2a4524dc2b1632b81b21cc811","c3a4aef0edc142e78255d4b26573abfd","c3a4aef0edc142e78255d4b26573abfd","c3a4aef0edc142e78255d4b26573abfd/1"
